comment_text,locate_restaurant,restaurant_type,table_reservation,restaurant_review
suggest me the closest restaurant,1,0,0,0
restaurants near me,1,0,0,0
I would like to visit an italian restaurant,0,1,0,0
A family restaurant,0,1,0,0
Book a table for two people,0,0,1,0
Book a table for 2 people,0,0,1,0
restaurant was awesome,0,0,0,1
food was great,0,0,0,1
locate a restaurant near me,1,0,0,0
find me a restaurant,1,0,0,0
mexican,0,1,0,0
Indian,0,1,0,0
table for 10 persons,0,0,1,0
table for six,0,0,1,0
ambience was amazing,0,0,0,1
service was okay,0,0,0,1
restaurants,1,0,0,0
Can you find me a restaurant near me,1,0,0,0
Chinese restaurant,0,1,0,0
any restaurant,0,1,0,0
table near the pool side,0,0,1,0
table for four with an child seating,0,0,1,0
add to my favourites,0,0,0,1
give a 3.5 star,0,0,0,1
"Show me the closest restaurant, please",1,0,0,0
"Give me the adress about the nearest restaurant, please",1,0,0,0
I would like to visit a multicusine restaurant,0,1,0,0
restaurant with a bar,0,1,0,0
table for a couple,0,0,1,0
couple,0,0,1,0
average,0,0,0,1
worst experience,0,0,0,1
Let me know the nearest restaurant,1,0,0,0
suggest me a restaurant in rome,1,0,0,0
restaurant above 4 stars,0,1,0,0
restaurant in open area,0,1,0,0
table with high chairs,0,0,1,0
table in the corner,0,0,1,0
food was good was service wasnt,0,0,0,1
the waiter was rude,0,0,0,1
restaurants in mumbai,1,0,0,0
best restaurants in delhi,1,0,0,0
kid-friendly restaurant,0,1,0,0
restaurant with great ambience,0,1,0,0
table with a booth,0,0,1,0
the meal was delicious,0,0,0,1
food was exquisite,0,0,0,1
good restaurant downtown,1,0,0,0
great restaurant uptown,1,0,0,0
highest rated restaurant,0,1,0,0
dinning with a view,0,1,0,0
reasonable or affordable prices,0,0,0,1
a pleasant atmosphere,0,0,0,1
Are there any inexpensive restaurants near here??,1,0,0,0
Do you know of any restaurants open now??,1,0,0,0
restaurant on a terrace,0,1,0,0
fusion restaurant,0,1,0,0
attentive service,0,0,0,1
tastes great,0,0,0,1
I'd like to have some local food.???,1,0,0,0
Where is the main area for restaurants??? ?,1,0,0,0
Mediterranean restaurant,0,1,0,0
French,0,1,0,0
This food is too flavor for my taste,0,0,0,1
This tastes different. I think I prefer something else.,0,0,0,1
I'd like a restaurant with cheerful atmosphere.?,1,0,0,0
I want a restaurant with reasonable prices.??,1,0,0,0
German,0,1,0,0
Italian,0,1,0,0
Korean,0,1,0,0
The restaurant has great decorate and ambiance,0,0,0,1
"This place has a relaxed, casual vibe.",0,0,0,1
The atmosphere of the restaurant is unbeatable.,0,0,0,1
Thai restaurant,0,1,0,0
Macau Restaurant,0,1,0,0
dim sum,0,1,0,0
The service of this five-star restaurant is impeccable.,0,0,0,1
Wow! this food is amazing,0,0,0,1
flavorful,0,0,0,1
British,0,1,0,0
American,0,1,0,0
Vietnamese ,0,1,0,0
Could you recommend a nice restaurant?near here??,1,0,0,0
suggest any good restaurants,1,0,0,0
Spanish,0,1,0,0
Portuguese,0,1,0,0
Where can I try the best local cuisine,1,0,0,0
Singapore restaurant,0,1,0,0
fast food,0,1,0,0
"This high-end restaurant is pricey, and thus is probably appropriate for a special occasion.",0,0,0,1
I'd like to go to an inexpensive restaurant,1,0,0,0
I'd like to make a reservation for tonight,0,0,1,0
I didn't make a reservantion.Can I get a seat?,0,0,1,0
Dutch restaurant,0,1,0,0
Greek restaurant,0,1,0,0
Hot pot restaurant,0,1,0,0
There is a hair in my food,0,0,0,1
Would you tell me how to eat this,0,0,0,1
this is not what I ordered,0,0,0,1
I ordered three cups of tea. But we only got two.,0,0,0,1
